"","date","day","registered","casual","temp","weather"
"1",2011-01-01,"Sat",654,331,65,"moderate"
"2",2011-01-02,"Sun",670,131,64,"moderate"
"3",2011-01-03,"Mon",1229,120,49,"pleasant"
"4",2011-01-04,"Tue",1454,108,51,"pleasant"
"5",2011-01-05,"Wed",1518,82,53,"pleasant"
"6",2011-01-06,"Thu",1518,88,53,"pleasant"
"7",2011-01-07,"Fri",1362,148,51,"moderate"
"8",2011-01-08,"Sat",891,68,47,"moderate"
"9",2011-01-09,"Sun",768,54,42,"pleasant"
"10",2011-01-10,"Mon",1280,41,46,"pleasant"
"11",2011-01-11,"Tue",1220,43,49,"moderate"
"12",2011-01-12,"Wed",1137,25,46,"pleasant"
"13",2011-01-13,"Thu",1368,38,46,"pleasant"
"14",2011-01-14,"Fri",1367,54,49,"pleasant"
"15",2011-01-15,"Sat",1026,222,54,"moderate"
"16",2011-01-16,"Sun",953,251,53,"pleasant"
"17",2011-01-17,"Mon",883,117,48,"moderate"
"18",2011-01-18,"Tue",674,9,53,"moderate"
"19",2011-01-19,"Wed",1572,78,59,"moderate"
"20",2011-01-20,"Thu",1844,83,55,"moderate"
"21",2011-01-21,"Fri",1468,75,46,"pleasant"
"22",2011-01-22,"Sat",888,93,39,"pleasant"
"23",2011-01-23,"Sun",836,150,41,"pleasant"
"24",2011-01-24,"Mon",1330,86,43,"pleasant"
"25",2011-01-25,"Tue",1799,186,53,"moderate"
"26",2011-01-26,"Wed",472,34,50,"severe"
"27",2011-01-27,"Thu",416,15,52,"pleasant"
"28",2011-01-28,"Fri",1129,38,52,"moderate"
"29",2011-01-29,"Sat",975,123,51,"pleasant"
"30",2011-01-30,"Sun",956,140,55,"pleasant"
"31",2011-01-31,"Mon",1459,42,49,"moderate"
"32",2011-02-01,"Tue",1313,47,53,"moderate"
"33",2011-02-02,"Wed",1454,72,55,"moderate"
"34",2011-02-03,"Thu",1489,61,48,"pleasant"
"35",2011-02-04,"Fri",1620,88,53,"moderate"
"36",2011-02-05,"Sat",905,100,54,"moderate"
"37",2011-02-06,"Sun",1269,354,58,"pleasant"
"38",2011-02-07,"Mon",1592,120,59,"pleasant"
"39",2011-02-08,"Tue",1466,64,50,"pleasant"
"40",2011-02-09,"Wed",1552,53,45,"moderate"
"41",2011-02-10,"Thu",1491,47,45,"pleasant"
"42",2011-02-11,"Fri",1597,149,51,"pleasant"
"43",2011-02-12,"Sat",1184,288,53,"pleasant"
"44",2011-02-13,"Sun",1192,397,61,"pleasant"
"45",2011-02-14,"Mon",1705,208,68,"pleasant"
"46",2011-02-15,"Tue",1675,140,55,"pleasant"
"47",2011-02-16,"Wed",1897,218,60,"pleasant"
"48",2011-02-17,"Thu",2216,259,71,"pleasant"
"49",2011-02-18,"Fri",2348,579,78,"pleasant"
"50",2011-02-19,"Sat",1103,532,67,"pleasant"
"51",2011-02-20,"Sun",1173,639,57,"pleasant"
"52",2011-02-21,"Mon",912,195,58,"moderate"
"53",2011-02-22,"Tue",1376,74,49,"pleasant"
"54",2011-02-23,"Wed",1778,139,54,"pleasant"
"55",2011-02-24,"Thu",1707,100,58,"moderate"
"56",2011-02-25,"Fri",1341,120,64,"moderate"
"57",2011-02-26,"Sat",1545,424,57,"pleasant"
"58",2011-02-27,"Sun",1708,694,64,"pleasant"
"59",2011-02-28,"Mon",1365,81,68,"moderate"
"60",2011-03-01,"Tue",1714,137,56,"pleasant"
"61",2011-03-02,"Wed",1903,231,61,"pleasant"
"62",2011-03-03,"Thu",1562,123,50,"pleasant"
"63",2011-03-04,"Fri",1730,214,55,"moderate"
"64",2011-03-05,"Sat",1437,640,66,"moderate"
"65",2011-03-06,"Sun",491,114,65,"moderate"
"66",2011-03-07,"Mon",1628,244,53,"pleasant"
"67",2011-03-08,"Tue",1817,316,59,"pleasant"
"68",2011-03-09,"Wed",1700,191,58,"moderate"
"69",2011-03-10,"Thu",577,46,67,"severe"
"70",2011-03-11,"Fri",1730,247,59,"moderate"
"71",2011-03-12,"Sat",1408,724,61,"pleasant"
"72",2011-03-13,"Sun",1435,982,66,"pleasant"
"73",2011-03-14,"Mon",1687,359,62,"pleasant"
"74",2011-03-15,"Tue",1767,289,61,"moderate"
"75",2011-03-16,"Wed",1871,321,65,"moderate"
"76",2011-03-17,"Thu",2320,424,69,"pleasant"
"77",2011-03-18,"Fri",2355,884,79,"pleasant"
"78",2011-03-19,"Sat",1693,1424,74,"pleasant"
"79",2011-03-20,"Sun",1424,1047,61,"pleasant"
"80",2011-03-21,"Mon",1676,401,69,"moderate"
"81",2011-03-22,"Tue",2243,460,72,"pleasant"
"82",2011-03-23,"Wed",1918,203,62,"moderate"
"83",2011-03-24,"Thu",1699,166,56,"moderate"
"84",2011-03-25,"Fri",1910,300,55,"pleasant"
"85",2011-03-26,"Sat",1515,981,55,"pleasant"
"86",2011-03-27,"Sun",1221,472,55,"moderate"
"87",2011-03-28,"Mon",1806,222,55,"pleasant"
"88",2011-03-29,"Tue",2108,317,58,"pleasant"
"89",2011-03-30,"Wed",1368,168,59,"moderate"
"90",2011-03-31,"Thu",1506,179,55,"severe"
"91",2011-04-01,"Fri",1920,307,58,"moderate"
"92",2011-04-02,"Sat",1354,898,60,"moderate"
"93",2011-04-03,"Sun",1598,1651,66,"pleasant"
"94",2011-04-04,"Mon",2381,734,81,"pleasant"
"95",2011-04-05,"Tue",1628,167,68,"moderate"
"96",2011-04-06,"Wed",2395,413,67,"pleasant"
"97",2011-04-07,"Thu",2570,571,71,"pleasant"
"98",2011-04-08,"Fri",1299,172,61,"moderate"
"99",2011-04-09,"Sat",1576,879,63,"moderate"
"100",2011-04-10,"Sun",1707,1188,70,"moderate"
"101",2011-04-11,"Mon",2493,855,83,"moderate"
"102",2011-04-12,"Tue",1777,257,76,"moderate"
"103",2011-04-13,"Wed",1953,209,70,"moderate"
"104",2011-04-14,"Thu",2738,529,74,"pleasant"
"105",2011-04-15,"Fri",2484,642,72,"pleasant"
"106",2011-04-16,"Sat",674,121,70,"severe"
"107",2011-04-17,"Sun",2186,1558,72,"pleasant"
"108",2011-04-18,"Mon",2760,669,77,"pleasant"
"109",2011-04-19,"Tue",2795,409,76,"moderate"
"110",2011-04-20,"Wed",3331,613,83,"pleasant"
"111",2011-04-21,"Thu",3444,745,73,"pleasant"
"112",2011-04-22,"Fri",1506,177,61,"moderate"
"113",2011-04-23,"Sat",2574,1462,73,"moderate"
"114",2011-04-24,"Sun",2481,1710,82,"moderate"
"115",2011-04-25,"Mon",3300,773,84,"pleasant"
"116",2011-04-26,"Tue",3722,678,85,"pleasant"
"117",2011-04-27,"Wed",3325,547,84,"moderate"
"118",2011-04-28,"Thu",3489,569,84,"moderate"
"119",2011-04-29,"Fri",3717,878,77,"pleasant"
"120",2011-04-30,"Sat",3347,1965,74,"pleasant"
"121",2011-05-01,"Sun",2213,1138,72,"moderate"
"122",2011-05-02,"Mon",3554,847,80,"moderate"
"123",2011-05-03,"Tue",3848,603,84,"moderate"
"124",2011-05-04,"Wed",2378,255,68,"moderate"
"125",2011-05-05,"Thu",3819,614,72,"pleasant"
"126",2011-05-06,"Fri",3714,894,75,"pleasant"
"127",2011-05-07,"Sat",3102,1612,78,"pleasant"
"128",2011-05-08,"Sun",2932,1401,79,"pleasant"
"129",2011-05-09,"Mon",3698,664,79,"pleasant"
"130",2011-05-10,"Tue",4109,694,79,"pleasant"
"131",2011-05-11,"Wed",3632,550,80,"pleasant"
"132",2011-05-12,"Thu",4169,695,79,"pleasant"
"133",2011-05-13,"Fri",3413,692,76,"moderate"
"134",2011-05-14,"Sat",2507,902,77,"moderate"
"135",2011-05-15,"Sun",2971,1582,80,"moderate"
"136",2011-05-16,"Mon",3185,773,82,"pleasant"
"137",2011-05-17,"Tue",3445,678,80,"moderate"
"138",2011-05-18,"Wed",3319,536,79,"moderate"
"139",2011-05-19,"Thu",3840,735,78,"moderate"
"140",2011-05-20,"Fri",4008,909,80,"pleasant"
"141",2011-05-21,"Sat",3547,2258,83,"pleasant"
"142",2011-05-22,"Sun",3084,1576,84,"pleasant"
"143",2011-05-23,"Mon",3438,836,85,"moderate"
"144",2011-05-24,"Tue",3833,659,86,"moderate"
"145",2011-05-25,"Wed",4238,740,87,"pleasant"
"146",2011-05-26,"Thu",3919,758,91,"pleasant"
"147",2011-05-27,"Fri",3808,871,89,"pleasant"
"148",2011-05-28,"Sat",2757,2001,87,"pleasant"
"149",2011-05-29,"Sun",2433,2355,87,"pleasant"
"150",2011-05-30,"Mon",2549,1549,92,"pleasant"
"151",2011-05-31,"Tue",3309,673,97,"pleasant"
"152",2011-06-01,"Wed",3461,513,97,"moderate"
"153",2011-06-02,"Thu",4232,736,90,"pleasant"
"154",2011-06-03,"Fri",4414,898,85,"pleasant"
"155",2011-06-04,"Sat",3473,1869,86,"pleasant"
"156",2011-06-05,"Sun",3221,1685,88,"moderate"
"157",2011-06-06,"Mon",3875,673,88,"pleasant"
"158",2011-06-07,"Tue",4070,763,91,"pleasant"
"159",2011-06-08,"Wed",3725,676,97,"pleasant"
"160",2011-06-09,"Thu",3352,563,100,"moderate"
"161",2011-06-10,"Fri",3771,815,95,"pleasant"
"162",2011-06-11,"Sat",3237,1729,93,"pleasant"
"163",2011-06-12,"Sun",2993,1467,90,"pleasant"
"164",2011-06-13,"Mon",4157,863,86,"pleasant"
"165",2011-06-14,"Tue",4164,727,85,"pleasant"
"166",2011-06-15,"Wed",4411,769,85,"pleasant"
"167",2011-06-16,"Thu",3222,545,86,"moderate"
"168",2011-06-17,"Fri",3981,863,86,"pleasant"
"169",2011-06-18,"Sat",3312,1807,90,"pleasant"
"170",2011-06-19,"Sun",3105,1639,90,"moderate"
"171",2011-06-20,"Mon",3311,699,86,"moderate"
"172",2011-06-21,"Tue",4061,774,89,"moderate"
"173",2011-06-22,"Wed",3846,661,94,"pleasant"
"174",2011-06-23,"Thu",4044,746,94,"moderate"
"175",2011-06-24,"Fri",4022,969,91,"pleasant"
"176",2011-06-25,"Sat",3420,1782,90,"pleasant"
"177",2011-06-26,"Sun",3385,1920,89,"pleasant"
"178",2011-06-27,"Mon",3854,854,89,"moderate"
"179",2011-06-28,"Tue",3916,732,94,"pleasant"
"180",2011-06-29,"Wed",4377,848,91,"pleasant"
"181",2011-06-30,"Thu",4488,1027,89,"pleasant"
"182",2011-07-01,"Fri",4116,1246,91,"pleasant"
"183",2011-07-02,"Sat",2915,2204,92,"pleasant"
"184",2011-07-03,"Sun",2367,2282,92,"moderate"
"185",2011-07-04,"Mon",2978,3065,92,"moderate"
"186",2011-07-05,"Tue",3634,1031,95,"pleasant"
"187",2011-07-06,"Wed",3845,784,94,"pleasant"
"188",2011-07-07,"Thu",3838,754,94,"pleasant"
"189",2011-07-08,"Fri",3348,692,92,"moderate"
"190",2011-07-09,"Sat",3348,1988,92,"pleasant"
"191",2011-07-10,"Sun",3138,1743,94,"pleasant"
"192",2011-07-11,"Mon",3363,723,98,"pleasant"
"193",2011-07-12,"Tue",3596,662,99,"pleasant"
"194",2011-07-13,"Wed",3594,748,94,"pleasant"
"195",2011-07-14,"Thu",4196,888,89,"pleasant"
"196",2011-07-15,"Fri",4220,1318,88,"pleasant"
"197",2011-07-16,"Sat",3505,2418,89,"pleasant"
"198",2011-07-17,"Sun",3296,2006,92,"pleasant"
"199",2011-07-18,"Mon",3617,841,95,"pleasant"
"200",2011-07-19,"Tue",3789,752,99,"pleasant"
"201",2011-07-20,"Wed",3688,644,99,"pleasant"
"202",2011-07-21,"Thu",3152,632,106,"moderate"
"203",2011-07-22,"Fri",2825,562,108,"pleasant"
"204",2011-07-23,"Sat",2298,987,104,"pleasant"
"205",2011-07-24,"Sun",2556,1050,104,"pleasant"
"206",2011-07-25,"Mon",3272,568,97,"pleasant"
"207",2011-07-26,"Tue",3840,750,95,"pleasant"
"208",2011-07-27,"Wed",3901,755,94,"pleasant"
"209",2011-07-28,"Thu",3784,606,99,"pleasant"
"210",2011-07-29,"Fri",3176,670,103,"pleasant"
"211",2011-07-30,"Sat",2916,1559,98,"pleasant"
"212",2011-07-31,"Sun",2778,1524,98,"pleasant"
"213",2011-08-01,"Mon",3537,729,95,"pleasant"
"214",2011-08-02,"Tue",4044,801,96,"pleasant"
"215",2011-08-03,"Wed",3107,467,93,"moderate"
"216",2011-08-04,"Thu",3777,799,92,"moderate"
"217",2011-08-05,"Fri",3843,1023,91,"pleasant"
"218",2011-08-06,"Sat",2773,1521,93,"moderate"
"219",2011-08-07,"Sun",2487,1298,96,"pleasant"
"220",2011-08-08,"Mon",3480,846,95,"pleasant"
"221",2011-08-09,"Tue",3695,907,97,"pleasant"
"222",2011-08-10,"Wed",3896,884,94,"pleasant"
"223",2011-08-11,"Thu",3980,812,91,"pleasant"
"224",2011-08-12,"Fri",3854,1051,91,"pleasant"
"225",2011-08-13,"Sat",2646,1504,90,"moderate"
"226",2011-08-14,"Sun",2482,1338,88,"moderate"
"227",2011-08-15,"Mon",3563,775,87,"pleasant"
"228",2011-08-16,"Tue",4004,721,90,"pleasant"
"229",2011-08-17,"Wed",4026,668,92,"pleasant"
"230",2011-08-18,"Thu",3166,639,92,"pleasant"
"231",2011-08-19,"Fri",3356,797,89,"moderate"
"232",2011-08-20,"Sat",3277,1914,90,"pleasant"
"233",2011-08-21,"Sun",2624,1249,93,"pleasant"
"234",2011-08-22,"Mon",3925,833,89,"pleasant"
"235",2011-08-23,"Tue",4614,1281,87,"pleasant"
"236",2011-08-24,"Wed",4181,949,89,"pleasant"
"237",2011-08-25,"Thu",3107,435,90,"moderate"
"238",2011-08-26,"Fri",3893,768,91,"pleasant"
"239",2011-08-27,"Sat",889,226,89,"moderate"
"240",2011-08-28,"Sun",2919,1415,90,"pleasant"
"241",2011-08-29,"Mon",3905,729,87,"pleasant"
"242",2011-08-30,"Tue",4429,775,86,"pleasant"
"243",2011-08-31,"Wed",4370,688,87,"pleasant"
"244",2011-09-01,"Thu",4332,783,87,"pleasant"
"245",2011-09-02,"Fri",3852,875,86,"moderate"
"246",2011-09-03,"Sat",2549,1935,89,"pleasant"
"247",2011-09-04,"Sun",2419,2521,92,"pleasant"
"248",2011-09-05,"Mon",2115,1236,88,"moderate"
"249",2011-09-06,"Tue",2506,204,78,"severe"
"250",2011-09-07,"Wed",1878,118,81,"severe"
"251",2011-09-08,"Thu",1689,153,82,"severe"
"252",2011-09-09,"Fri",3127,417,84,"moderate"
"253",2011-09-10,"Sat",3595,1750,87,"pleasant"
"254",2011-09-11,"Sun",3413,1633,87,"pleasant"
"255",2011-09-12,"Mon",4023,690,86,"pleasant"
