"performer","song","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_popularity","billboard_weeks"
"Andy Williams","......And Roses And Roses",166106,0.154,0.185,5,-14.063,1,0.0315,0.911,0.000267,0.112,0.15,83.969,4,38,7
"Sandy Nelson","...And Then There Were Drums",172066,0.588,0.672,11,-17.278,0,0.0361,0.00256,0.745,0.145,0.801,121.962,4,11,4
"Britney Spears","...Baby One More Time",211066,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4,77,32
"Taylor Swift","...Ready For It?",208186,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,4,73,19
"Paul Davis","'65 Love Affair",219813,0.647,0.686,2,-4.247,0,0.0274,0.432,6.19e-06,0.133,0.952,155.697,4,40,20
"Tammy Wynette","'til I Can Make It On My Own",182080,0.45,0.294,7,-12.022,1,0.0318,0.832,3.53e-05,0.108,0.146,141.148,4,31,5
"Luther Vandross","'Til My Baby Comes Home",332226,0.804,0.714,11,-6.714,0,0.183,0.0567,6.21e-06,0.0253,0.802,139.663,4,29,16
"Keith Urban","'Til Summer Comes Around",331466,0.57,0.629,9,-7.608,0,0.0331,0.593,0.000136,0.77,0.308,127.907,4,42,16
"After 7","'Til You Do Me Right",295000,0.612,0.542,5,-7.563,1,0.0264,0.0781,0,0.0763,0.433,76.744,4,42,22
"The Angels","'Til",148440,0.253,0.232,0,-12.695,1,0.0318,0.805,0.00018,0.0939,0.307,173.819,3,10,15
"Taylor Swift","'Tis The Damn Season",229840,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-05,0.105,0.348,145.916,4,70,2
"Young And Restless","""B"" Girls",242106,0.615,0.497,7,-11.913,1,0.439,0.016,0,0.312,0.769,193.762,3,20,15
"Neil Diamond","""Cherry Cherry"" from Hot August Night",443320,0.34,0.948,9,-5.061,1,0.137,0.0941,0.000907,0.867,0.604,172.349,4,16,10
"The Everly Brothers","('til) I Kissed You",146066,0.518,0.432,10,-11.689,0,0.0459,0.401,0,0.299,0.701,139.567,4,53,16
"Mel Carter","(All Of A Sudden) My Heart Sings",164066,0.418,0.532,7,-7.866,1,0.0354,0.461,2.99e-06,0.83,0.504,117.261,3,17,7
"Paul Anka","(All of a Sudden) My Heart Sings",184200,0.307,0.267,4,-11.898,1,0.0327,0.809,0,0.269,0.39,111.322,3,21,17
"Starz","(Any Way That You Want It) I'll Be There",204760,0.454,0.834,7,-4.753,1,0.0305,0.00248,2.73e-05,0.311,0.596,124.744,4,2,4
"The Olympics","(Baby) Hully Gully",127829,0.744,0.47,7,-10.295,1,0.035,0.659,0,0.256,0.908,116.233,4,5,7
"'Til Tuesday","(Believed You Were) Lucky",216973,0.612,0.523,5,-11.425,1,0.0321,0.448,1.59e-06,0.0727,0.495,124.315,4,17,3
"Cutting Crew","(Between A) Rock And A Hard Place",227960,0.615,0.845,5,-9.943,0,0.0393,0.0928,2.77e-05,0.0755,0.585,117.444,4,19,5
"Maxine Nightingale","(Bringing Out) The Girl In Me",210973,0.712,0.753,9,-7.666,1,0.0399,0.756,1.58e-06,0.169,0.953,116.178,4,6,5
"Bobby Moore","(Call Me Your) Anything Man",374491,0.624,0.604,3,-12.401,0,0.0459,0.0474,0.00159,0.263,0.76,91.554,4,4,2
"Nelson","(Can't Live Without Your) Love And Affection",236435,0.543,0.902,1,-6.344,1,0.0393,0.0354,0,0.0609,0.855,121.419,4,47,26
"Jermaine Jackson","(Closest Thing To) Perfect",230693,0.661,0.763,6,-12.204,0,0.0326,0.0205,0.000307,0.382,0.905,149.974,4,8,7
"The Miracles","(Come 'round Here) I'm The One You Need",150066,0.545,0.607,0,-9.525,1,0.0347,0.242,0,0.779,0.767,113.88,4,26,9
"Chubby Checker","(Dance The) Mess Around",141666,0.544,0.725,1,-7.054,0,0.0759,0.0605,0,0.112,0.746,141.831,4,13,7
"The Dovells","(Do The New) Continental",157333,0.682,0.784,8,-5.905,1,0.0471,0.177,0,0.196,0.942,120.397,4,16,10
"Reel Tight","(Do You) Wanna Ride",213213,0.757,0.659,6,-5.525,1,0.0701,0.185,0,0.0674,0.878,138.045,4,7,1
"Blue Oyster Cult","(Don't Fear) The Reaper",308120,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000211,0.297,0.382,141.47,4,77,20
"Curtis Mayfield","(Don't Worry) If There's A Hell Below We're All Going To Go",470506,0.686,0.755,1,-8.304,0,0.0488,0.149,0.063,0.111,0.686,119.895,4,15,12
"Dr. John","(everybody Wanna Get Rich) Rite Away",163933,0.746,0.916,9,-10.061,1,0.0772,0.518,0.0686,0.0785,0.971,99.926,4,54,4
"Bryan Adams","(Everything I Do) I Do It For You",394133,0.519,0.372,1,-12.635,1,0.0284,0.0816,4.67e-05,0.0652,0.298,131.227,4,65,22
"The Chi-lites","(For God's Sake) Give More Power To The People",180133,0.665,0.552,6,-10.177,1,0.0307,0.493,0.0272,0.421,0.899,96.889,4,29,11
"Orchestral Manoeuvres In The Dark","(Forever) Live And Die",218133,0.605,0.545,0,-13.603,1,0.0297,0.0902,0.244,0.149,0.865,90.179,4,48,17
"Outlaws","(Ghost) Riders In The Sky",351400,0.228,0.896,9,-7.241,0,0.13,0.0132,0.0273,0.795,0.146,128.433,4,47,15
"Ramrods","(Ghost) Riders In The Sky",156933,0.442,0.717,9,-9.943,0,0.0395,0.518,0.262,0.184,0.376,120.914,4,24,9
"Eddie Hodges","(Girls, Girls, Girls) Made To Love",150666,0.61,0.377,9,-9.805,1,0.0935,0.414,0,0.0734,0.519,178.06,4,16,11
"Connie Francis","(He's My) Dreamboat",162106,0.373,0.364,0,-6.563,1,0.0305,0.78,2.24e-06,0.342,0.451,70.31,4,28,9
"Jay & The Americans","(He's) Raining In My Sunshine",195733,0.478,0.298,2,-13.842,1,0.0342,0.74,1.11e-05,0.139,0.376,110.006,4,10,4
"The Fleetwoods","(He's) The Great Impostor",132101,0.499,0.249,5,-11.793,1,0.0422,0.733,0,0.105,0.539,117.163,4,15,8
"Jan & Dean","(Here They Come) From All Over The World",164600,0.461,0.68,0,-10.699,1,0.0446,0.621,7.74e-06,0.906,0.957,149.771,4,15,5
"B.J. Thomas","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song",206066,0.637,0.528,4,-11.287,1,0.0328,0.744,0,0.114,0.702,124.806,4,40,18
"ABC","(How To Be A) Millionaire",215733,0.718,0.755,2,-9.683,1,0.0534,0.281,1.18e-05,0.0614,0.832,121.678,4,29,14
"Jackie Wilson","(I Can Feel Those Vibrations) This Love Is Real",175146,0.63,0.8,2,-6.002,1,0.15,0.429,0,0.3,0.736,120.811,4,26,11
"Barbara Mason","(I Can Feel Your Love) Slipping Away",199626,0.44,0.427,0,-5.455,1,0.0254,0.563,0,0.295,0.335,77.412,3,16,1
"The Rolling Stones","(I Can't Get No) Satisfaction",222813,0.725,0.853,2,-7.842,1,0.0353,0.0348,0.127,0.196,0.904,136.282,4,78,14
"Skeeter Davis","(I Can't Help You) I'm Falling Too",165266,0.617,0.197,9,-12.145,1,0.0267,0.777,0,0.133,0.384,91.209,4,23,7
"Harry Connick, Jr.","(I Could Only) Whisper Your Name",289970,0.682,0.572,5,-7.067,0,0.045,0.191,0.204,0.0504,0.844,89.083,4,34,20
"Barbara Lynn","(I Cried at) Laura's Wedding",158213,0.579,0.299,7,-8.729,1,0.0304,0.84,4.71e-05,0.117,0.194,89.463,3,2,8
"Bobby Freeman","(I Do The) Shimmy Shimmy",157466,0.508,0.857,2,-5.498,1,0.04,0.74,0,0.365,0.891,88.579,4,3,13
"Steve Lawrence","(I Don't Care) Only Love Me",153600,0.56,0.516,5,-12.275,0,0.183,0.468,0.000107,0.173,0.825,141.812,4,13,4
"Three Days Grace","(I Hate) Everything About You",231480,0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342,4,74,20
"Cutting Crew","(I Just) Died In Your Arms",278626,0.632,0.727,11,-11.209,0,0.0438,0.0119,7.64e-05,0.0678,0.499,124.919,4,70,19
"Shaquille O'Neal","(I Know I Got) Skillz",263053,0.801,0.875,7,-9.705,1,0.0995,0.00366,0.425,0.182,0.637,91.983,4,33,20
