"date","births","year","month","day_of_month","day_of_week"
1969-01-01,8486,1969,"Jan",1,"Wed"
1969-01-02,9002,1969,"Jan",2,"Thu"
1969-01-03,9542,1969,"Jan",3,"Fri"
1969-01-04,8960,1969,"Jan",4,"Sat"
1969-01-05,8390,1969,"Jan",5,"Sun"
1969-01-06,9560,1969,"Jan",6,"Mon"
1969-01-07,9738,1969,"Jan",7,"Tue"
1969-01-08,9734,1969,"Jan",8,"Wed"
1969-01-09,9434,1969,"Jan",9,"Thu"
1969-01-10,10042,1969,"Jan",10,"Fri"
1969-01-11,9178,1969,"Jan",11,"Sat"
1969-01-12,8450,1969,"Jan",12,"Sun"
1969-01-13,9834,1969,"Jan",13,"Mon"
1969-01-14,10366,1969,"Jan",14,"Tue"
1969-01-15,9894,1969,"Jan",15,"Wed"
1969-01-16,9662,1969,"Jan",16,"Thu"
1969-01-17,9974,1969,"Jan",17,"Fri"
1969-01-18,9312,1969,"Jan",18,"Sat"
1969-01-19,8622,1969,"Jan",19,"Sun"
1969-01-20,9808,1969,"Jan",20,"Mon"
1969-01-21,10474,1969,"Jan",21,"Tue"
1969-01-22,9884,1969,"Jan",22,"Wed"
1969-01-23,9454,1969,"Jan",23,"Thu"
1969-01-24,9798,1969,"Jan",24,"Fri"
1969-01-25,9022,1969,"Jan",25,"Sat"
1969-01-26,8568,1969,"Jan",26,"Sun"
1969-01-27,9910,1969,"Jan",27,"Mon"
1969-01-28,10032,1969,"Jan",28,"Tue"
1969-01-29,9380,1969,"Jan",29,"Wed"
1969-01-30,9674,1969,"Jan",30,"Thu"
1969-01-31,9692,1969,"Jan",31,"Fri"
1969-02-01,9130,1969,"Feb",1,"Sat"
1969-02-02,8814,1969,"Feb",2,"Sun"
1969-02-03,9988,1969,"Feb",3,"Mon"
1969-02-04,9996,1969,"Feb",4,"Tue"
1969-02-05,9676,1969,"Feb",5,"Wed"
1969-02-06,9728,1969,"Feb",6,"Thu"
1969-02-07,10102,1969,"Feb",7,"Fri"
1969-02-08,9262,1969,"Feb",8,"Sat"
1969-02-09,8694,1969,"Feb",9,"Sun"
