"id","name","mobility","state","population","urban","seg_racial","seg_income","seg_poverty","seg_affluenc.e","commute","income","gini","share_01","gini_99","middle_class","local_tax_rate","local_gov_spending","progressivity","eitc","school_spending","student_teacher_ratio","colleges","tuition","graduation","labor_force_participation","manufacturing","teenage_labor","migration_in","migration_out","social_capital","longitude","latitude"
100,"Johnson City",0.06219881,"TN",576081,"urban",0.09,0.035,0.03,0.038,0.325,31560,0.468,13.459,0.333,0.548,0.02,1886,0,0,5.185,NA,0.014,4817,-0.002,0.587,0.237,0.004,0.006,0.005,-0.298,-82.43638611,36.47037125
200,"Morristown",0.05365194,"TN",227816,"urban",0.093,0.026,0.028,0.025,0.276,29959,0.435,10.631,0.328,0.538,0.023,2004,0,0,4.506,NA,0.009,4762,-0.101,0.625,0.238,0.005,0.016,0.014,-0.767,-83.40724945,36.09653854
301,"Middlesborough",0.072635137,"TN",66708,"rural",0.064,0.024,0.015,0.026,0.359,22328,0.441,10.691,0.334,0.467,0.015,1190,0,0,5.614,15.1,0.045,11840,0.111,0.479,0.234,0.003,0.008,0.012,-1.27,-83.53533173,36.55154037
302,"Knoxville",0.056281213,"TN",727600,"urban",0.21,0.092,0.084,0.102,0.269,35884,0.508,15.08,0.358,0.504,0.019,2357,0,0,4.9,NA,0.011,3480,-0.024,0.615,0.146,0.004,0.016,0.014,-0.222,-84.24279022,35.95225906
401,"Winston-Salem",0.044800792,"NC",493180,"urban",0.262,0.072,0.061,0.081,0.292,38892,0.466,11.917,0.346,0.5,0.018,1891,1,0,5.463,15.4,0.014,9715,0.052,0.656,0.215,0.004,0.022,0.019,-0.018,-80.50533295,36.08127594
402,"Martinsville",0.051835854,"VA",92753,"rural",0.137,0.024,0.015,0.028,0.313,31265,0.444,10.68,0.338,0.538,0.015,1558,0,0,5.74,NA,0.011,1113,-0.116,0.599,0.395,0.003,0.007,0.01,-0.903,-80.29411316,36.70058823
500,"Greensboro",0.047396939,"NC",1055133,"urban",0.22,0.068,0.058,0.077,0.305,36582,0.524,18.228,0.341,0.51,0.017,1932,1,0,5.008,16.7,0.014,4528,-0.017,0.666,0.261,0.004,0.017,0.015,-0.513,-79.76738739,36.31110764
601,"North Wilkesboro",0.051663127,"NC",90016,"rural",0.114,0.012,0.009,0.012,0.289,31544,0.446,12.645,0.32,0.56,0.014,1661,1,0,5.296,16.2,0.011,880,-0.123,0.617,0.275,0.003,0.012,0.012,-0.193,-81.2522049,36.28341675
602,"Galax",0.079569891,"VA",64676,"rural",0.131,0.005,0.004,0.006,0.325,30683,0.356,8.706,0.269,0.608,0.014,1208,0,0,5.377,12.3,NA,NA,NA,0.594,0.321,0.004,0.006,0.006,-0.801,-81.03992462,36.59199905
700,"Spartanburg",0.04311119,"SC",354533,"urban",0.139,0.045,0.044,0.045,0.299,33417,0.471,13.061,0.341,0.529,0.018,2499,0,0,5.421,15.9,0.02,7264,0.007,0.63,0.295,0.004,0.017,0.016,-1.001,-81.78596497,34.87308121
800,"Gastonia",0.051527306,"NC",413331,"urban",0.134,0.038,0.034,0.041,0.288,33582,0.415,10.08,0.314,0.544,0.015,1996,1,0,5.251,16.4,0.015,10244,-0.102,0.648,0.311,0.003,0.017,0.015,-0.659,-81.6222229,35.41153336
900,"Charlotte",0.043785237,"NC",1423942,"urban",0.223,0.098,0.078,0.12,0.241,41423,0.516,15.613,0.36,0.477,0.02,2701,1,0,5.674,17,0.013,4790,-0.021,0.696,0.171,0.004,0.034,0.021,-0.484,-80.69176483,35.09056091
1001,"Boone",0.056083649,"NC",77361,"rural",0.076,0.031,0.028,0.031,0.375,25953,0.487,14.276,0.344,0.53,0.022,1348,1,0,5.264,13.9,0.026,1674,0.236,0.589,0.11,0.004,0.014,0.017,0.012,-81.84039307,36.19696426
1002,"Morganton",0.054446463,"NC",164760,"urban",0.117,0.012,0.011,0.011,0.315,30726,0.351,7.776,0.273,0.603,0.014,1826,1,0,4.926,15.7,0.018,888,-0.155,0.61,0.355,0.004,0.013,0.015,-0.231,-81.99520874,35.80189514
1100,"Hickory",0.044969671,"NC",375363,"urban",0.134,0.038,0.029,0.042,0.322,36024,0.435,11.834,0.317,0.568,0.015,1917,1,0,5.205,16.7,0.011,4109,-0.164,0.688,0.365,0.004,0.022,0.019,-0.235,-81.28756714,35.87122726
1201,"Franklin",0.056661561,"NC",44861,"rural",0.044,0.011,0.009,0.011,0.416,37261,0.516,20.552,0.311,0.565,0.024,1434,1,0,5.199,15.8,NA,NA,NA,0.558,0.158,0.006,0.012,0.01,-0.234,-83.37693787,34.97714615
1202,"Sylva",0.060665362,"NC",54082,"rural",0.326,0.016,0.02,0.014,0.412,28767,0.404,8.421,0.32,0.521,0.015,1581,1,0,5.622,14.6,0.037,971,0.112,0.609,0.106,0.005,0.01,0.01,-1.001,-83.40532684,35.34777069
1203,"Asheville",0.063380279,"NC",398505,"urban",0.168,0.036,0.034,0.037,0.314,37445,0.461,13.046,0.331,0.545,0.018,2059,1,0,5.649,16.2,0.023,5560,0.001,0.604,0.178,0.005,0.017,0.013,0.055,-82.69906616,35.54806519
1204,"Andrews",0.080481038,"NC",59681,"rural",0.051,0.008,0.007,0.007,0.361,33712,0.847,55.821,0.289,0.519,0.015,1932,1,0,5.167,15.7,0.034,7563,-0.11,0.525,0.154,0.005,0.012,0.004,-0.999,-83.8927536,34.96515656
