"state_abbr","historical","total_votes_20","repub_pct_20","dem_pct_20","winner_20","total_votes_16","repub_pct_16","dem_pct_16","winner_16","total_votes_12","repub_pct_12","dem_pct_12","winner_12"
"AL","red",2323304,62.03,36.57,"repub",2078165,62.89,34.55,"repub",2064699,60.66,38.44,"repub"
"AR","red",1219069,62.4,34.78,"repub",1108615,61.15,34.16,"repub",1062831,60.57,36.88,"repub"
"AZ","purple",3387326,49.06,49.36,"dem",2062810,49.5,45.39,"repub",2041519,54.23,44.09,"repub"
"CA","blue",17495906,34.33,63.5,"dem",11954317,32.76,61.59,"dem",10538656,38.4,59.23,"dem"
"CO","purple",3256953,41.9,55.4,"dem",2564185,44.36,47.27,"dem",2419698,46.51,51.18,"dem"
"CT","blue",1824280,39.21,59.24,"dem",1623542,41.16,54.48,"dem",1562187,40.42,58.41,"dem"
"DC","blue",344356,5.4,92.15,"dem",280272,4.12,92.85,"dem",243348,7.12,91.36,"dem"
"DE","blue",504010,39.8,58.78,"dem",441535,41.92,53.36,"dem",413844,39.99,58.61,"dem"
"FL","purple",11067456,51.22,47.86,"repub",9386750,49.06,47.79,"repub",8470205,49.14,50,"dem"
"GA","purple",4997716,49.26,49.5,"dem",4029564,51.34,45.6,"repub",3877038,53.4,45.44,"repub"
"HI","blue",574469,34.27,63.73,"dem",428825,30.04,62.22,"dem",429494,27.82,70.57,"dem"
"IA","purple",1690871,53.09,44.89,"repub",1542880,51.78,42.18,"repub",1565968,46.48,52.14,"dem"
"ID","red",868105,63.83,33.06,"repub",688235,59.17,27.56,"repub",651871,64.54,32.61,"repub"
"IL","blue",6038850,40.52,57.49,"dem",5374280,39.41,55.4,"dem",5113726,40.96,57.39,"dem"
"IN","purple",3033198,57.03,40.96,"repub",2722029,57.17,37.91,"repub",2602883,54.27,43.81,"repub"
"KS","red",1349567,56.17,41.4,"repub",1147143,57.19,36.16,"repub",1131244,60,37.83,"repub"
"KY","red",2136768,62.09,36.15,"repub",1922218,62.58,32.71,"repub",1796736,60.51,37.81,"repub"
"LA","red",2140985,58.36,39.95,"repub",2021163,57.99,38.54,"repub",1986983,57.71,40.65,"repub"
"MA",NA,3631402,32.14,65.6,"dem",3231531,33.52,60.8,"dem",3129731,37.65,60.75,"dem"
"MD","blue",3037030,32.15,65.36,"dem",2474543,35.31,60.53,"dem",2475956,36.55,61.7,"dem"
"ME","blue",813740,44.23,52.9,"dem",741550,45.15,47.86,"dem",710738,40.86,55.96,"dem"
"MI",NA,5539302,47.84,50.62,"dem",4790917,47.59,47.34,"repub",4717728,44.78,54.3,"dem"
"MN","blue",3277171,45.28,52.4,"dem",2916404,45.36,46.86,"dem",2928942,45.12,52.84,"dem"
"MO","red",3025962,56.8,41.41,"repub",2775098,57.14,38.01,"repub",2744935,53.88,44.26,"repub"
"MS","red",1315178,57.54,41.01,"repub",1162987,58.34,39.73,"repub",1214004,55.54,43.51,"repub"
"MT","red",605750,56.72,40.41,"repub",483574,56.69,36.09,"repub",479386,55.27,41.82,"repub"
"NC",NA,5524801,49.93,48.59,"repub",4629471,50.54,46.7,"repub",4499039,50.59,48.42,"repub"
"ND","red",361819,65.11,31.76,"repub",336968,64.14,27.76,"repub",319825,58.65,38.92,"repub"
"NE","red",956379,58.22,39.17,"repub",805638,60.3,33.99,"repub",765083,60.51,37.79,"repub"
"NH","purple",804430,45.46,52.82,"dem",731553,47.27,47.64,"dem",705874,46.45,52.21,"dem"
"NJ","blue",4564234,41.26,57.15,"dem",3674893,41.78,55.02,"dem",3378826,40.94,58.03,"dem"
"NM","purple",841324,43.87,53.92,"dem",713803,40.74,48.08,"dem",706617,43.15,52.58,"dem"
"NV","purple",1405376,47.67,50.06,"dem",1122990,45.53,47.89,"dem",1011105,45.73,52.3,"dem"
"NY",NA,8616205,37.72,60.86,"dem",7046175,37.48,58.81,"dem",6188982,35.98,62.62,"dem"
"OH","purple",5922202,53.27,45.24,"repub",5325395,52.05,43.51,"repub",5379090,48.22,50.14,"dem"
"OK","red",1560699,65.37,32.29,"repub",1451056,65.33,28.93,"repub",1332019,66.77,33.23,"repub"
"OR","blue",2374321,40.37,56.45,"dem",1808575,41.05,51.68,"dem",1713697,42.73,54.41,"dem"
