"state_name","state_abbr","historical","county_name","county_fips","total_votes_20","repub_pct_20","dem_pct_20","winner_20","total_votes_16","repub_pct_16","dem_pct_16","winner_16","total_votes_12","repub_pct_12","dem_pct_12","winner_12","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"Alabama","AL","red","Autauga County",1001,27770,71.44,27.02,"repub",24661,73.44,23.96,"repub",23909,72.63,26.58,"repub",54907,76,18,1,2,24571,668,37.5
"Alabama","AL","red","Baldwin County",1003,109679,76.17,22.41,"repub",94090,77.35,19.57,"repub",84988,77.39,21.57,"repub",187114,83,9,1,4,26766,693,41.5
"Alabama","AL","red","Barbour County",1005,10518,53.45,45.79,"repub",10390,52.27,46.66,"repub",11459,48.34,51.25,"dem",27321,46,46,0,5,16829,382,38.3
"Alabama","AL","red","Bibb County",1007,9595,78.43,20.7,"repub",8748,76.97,21.42,"repub",8391,73.07,26.22,"repub",22754,75,22,0,2,17427,351,39.4
"Alabama","AL","red","Blount County",1009,27588,89.57,9.57,"repub",25384,89.85,8.47,"repub",23980,86.49,12.35,"repub",57623,88,1,0,8,20730,403,39.6
"Alabama","AL","red","Bullock County",1011,4613,24.84,74.7,"dem",4701,24.23,75.09,"dem",5318,23.51,76.31,"dem",10746,22,71,0,6,18628,276,39.6
"Alabama","AL","red","Butler County",1013,9488,57.53,41.79,"repub",8685,56.32,42.79,"repub",9483,53.58,46.05,"repub",20624,54,44,1,1,17403,331,40.6
"Alabama","AL","red","Calhoun County",1015,50983,68.85,29.85,"repub",47376,69.24,27.86,"repub",46240,65.47,33.52,"repub",117714,73,21,1,3,20828,422,38.7
"Alabama","AL","red","Chambers County",1017,15284,57.27,41.64,"repub",13778,56.63,41.83,"repub",14562,52.16,47.06,"repub",34145,58,40,1,1,19291,374,42.4
"Alabama","AL","red","Cherokee County",1019,12301,86.03,13.2,"repub",10503,83.87,14.51,"repub",9761,76.77,21.78,"repub",26034,92,5,0,1,22030,375,45
"Alabama","AL","red","Chilton County",1021,19310,83.3,15.91,"repub",18255,82.54,15.94,"repub",17434,79.79,19.45,"repub",43744,81,10,0,8,20701,405,38
"Alabama","AL","red","Choctaw County",1023,7464,57.56,41.89,"repub",7268,56.44,42.78,"repub",7965,52.1,47.52,"repub",13687,56,43,0,0,20323,345,44.2
"Alabama","AL","red","Clarke County",1025,13135,55.76,43.81,"repub",12936,54.96,44.16,"repub",13827,53.97,45.69,"repub",25573,54,44,0,0,18979,325,40.3
"Alabama","AL","red","Clay County",1027,6930,80.82,18.28,"repub",6572,79.58,18.78,"repub",6640,72.32,26.66,"repub",13703,80,15,0,3,18694,276,42.1
"Alabama","AL","red","Cleburne County",1029,7227,89.72,9.34,"repub",6532,87.84,10.47,"repub",6302,83.61,15.41,"repub",14945,93,4,0,2,19108,371,41.3
"Alabama","AL","red","Coffee County",1031,22275,75.87,22.79,"repub",20513,77.15,20.45,"repub",19715,74.25,24.85,"repub",50468,72,17,1,6,23380,456,37.8
"Alabama","AL","red","Colbert County",1033,27886,68.86,29.92,"repub",24626,67.89,29.63,"repub",23374,59.6,39.19,"repub",54456,79,16,0,2,21572,399,41.7
"Alabama","AL","red","Conecuh County",1035,6441,53.44,46.05,"repub",6543,52.16,46.91,"repub",7013,48.97,50.63,"dem",13104,51,45,0,1,15605,331,43.2
"Alabama","AL","red","Coosa County",1037,5479,66.27,32.78,"repub",5223,64.64,34.08,"repub",5243,57.75,41.73,"repub",11198,66,31,0,2,18493,301,44.7
"Alabama","AL","red","Covington County",1039,17430,83.68,15.61,"repub",15818,83.59,15.04,"repub",15415,78.81,20.47,"repub",37847,84,13,0,1,20391,353,42.4
"Alabama","AL","red","Crenshaw County",1041,6617,73.51,25.69,"repub",6252,72.15,26.6,"repub",6411,67.48,31.95,"repub",13955,71,23,1,2,21343,279,40.6
"Alabama","AL","red","Cullman County",1043,41851,88.12,10.7,"repub",37278,87.81,10.01,"repub",33178,84.18,14.63,"repub",80499,92,1,0,4,20760,401,40.4
"Alabama","AL","red","Dale County",1045,19738,72.46,26.19,"repub",18617,74.12,23.68,"repub",18551,70.64,28.48,"repub",50102,70,19,1,6,22685,434,36.1
"Alabama","AL","red","Dallas County",1047,17864,30.92,68.46,"dem",18730,30.88,68.48,"dem",20936,30.02,69.73,"dem",43091,29,69,0,1,17245,305,38
"Alabama","AL","red","DeKalb County",1049,29356,84.37,14.58,"repub",26086,83.49,14.11,"repub",23842,76.82,21.96,"repub",71076,81,2,0,14,18149,359,38.8
"Alabama","AL","red","Elmore County",1051,41030,73.52,25.27,"repub",36905,74.84,22.86,"repub",35440,73.99,25.23,"repub",79895,74,20,1,3,23856,550,37.8
"Alabama","AL","red","Escambia County",1053,15910,68.32,30.91,"repub",15213,67.59,30.88,"repub",14832,62.45,36.92,"repub",38169,61,32,0,2,16540,386,39.4
"Alabama","AL","red","Etowah County",1055,47728,74.44,24.24,"repub",43474,73.91,23.81,"repub",42490,68.49,30.11,"repub",104260,79,15,1,3,20204,412,40.3
"Alabama","AL","red","Fayette County",1057,8766,83.28,15.91,"repub",8196,81.81,16.57,"repub",7912,76.26,22.79,"repub",17110,86,11,0,1,18494,287,43.5
"Alabama","AL","red","Franklin County",1059,12578,82.49,16.58,"repub",11955,79.18,18.38,"repub",10859,69.68,29.2,"repub",31666,79,4,0,15,18888,333,38.3
"Alabama","AL","red","Geneva County",1061,12545,86.47,12.71,"repub",11659,85.49,13.05,"repub",11318,81.05,18.02,"repub",26791,84,9,0,3,20199,377,41.9
"Alabama","AL","red","Greene County",1063,4775,18.32,81.34,"dem",4862,17.24,82.39,"dem",5328,15,84.72,"dem",8934,18,81,0,1,14930,240,42.4
"Alabama","AL","red","Hale County",1065,7922,40.27,59.16,"dem",8010,39.6,59.58,"dem",8628,37.15,62.6,"dem",15594,40,59,0,0,18812,207,40.7
"Alabama","AL","red","Henry County",1067,9298,71.06,28.03,"repub",8017,70.14,28.51,"repub",8700,64.43,35.01,"repub",17308,68,27,2,2,21924,353,42.7
"Alabama","AL","red","Houston County",1069,46173,70.64,27.98,"repub",42030,72.73,25.09,"repub",41843,69.82,29.51,"repub",102326,68,26,1,3,23316,483,38.6
"Alabama","AL","red","Jackson County",1071,23636,83.22,15.73,"repub",20785,80.07,17.62,"repub",20555,70.16,28.3,"repub",53171,90,3,0,3,20486,336,42
"Alabama","AL","red","Jefferson County",1073,325848,42.61,55.76,"dem",290111,45.02,52.25,"dem",303424,46.61,52.62,"dem",658552,51,42,1,4,26906,587,37.2
"Alabama","AL","red","Lamar County",1075,7193,85.83,13.6,"repub",6931,83.96,14.93,"repub",7159,76.17,22.95,"repub",14396,86,12,0,1,19026,276,42.9
"Alabama","AL","red","Lauderdale County",1077,44339,71.54,26.87,"repub",38813,71.46,25.45,"repub",36908,64.76,33.88,"repub",92666,85,10,1,2,23510,405,40.8
"Alabama","AL","red","Lawrence County",1079,16031,76.86,22.22,"repub",14623,73.39,24.69,"repub",14079,62.9,35.9,"repub",34009,77,11,0,2,20181,337,41.2
"Alabama","AL","red","Lee County",1081,71449,59.09,38.99,"repub",57668,59.51,36.39,"repub",54115,59.25,39.31,"repub",144405,69,23,3,4,23506,580,29.9
"Alabama","AL","red","Limestone County",1083,49235,70.36,27.77,"repub",39400,73.16,23.71,"repub",35406,71.35,27.7,"repub",85264,78,13,1,6,25020,435,38.5
"Alabama","AL","red","Lowndes County",1085,6835,26.86,72.74,"dem",6676,26.23,73.13,"dem",7519,23.33,76.43,"dem",11086,25,74,0,1,18368,318,41
"Alabama","AL","red","Macon County",1087,8723,17.67,81.49,"dem",8748,15.94,82.73,"dem",10385,12.73,87.1,"dem",20803,16,81,0,1,16826,351,36.8
"Alabama","AL","red","Madison County",1089,194767,52.77,44.82,"repub",159473,55.93,39.15,"repub",154632,58.64,39.97,"repub",339279,66,24,2,5,31933,585,37.4
"Alabama","AL","red","Marengo County",1091,10900,49.02,50.35,"dem",10948,47.72,51.21,"dem",11509,46.23,53.47,"dem",20669,46,52,0,2,22072,340,41.8
"Alabama","AL","red","Marion County",1093,13807,88.4,10.6,"repub",12912,87.31,11.09,"repub",12104,80.11,18.58,"repub",30615,92,4,0,2,19576,280,43.5
"Alabama","AL","red","Marshall County",1095,39655,83.7,14.99,"repub",34965,83.56,14.05,"repub",32455,79.45,19.32,"repub",93699,83,2,1,12,20382,415,38.4
"Alabama","AL","red","Mobile County",1097,183164,55.27,43.39,"repub",163387,55.75,41.88,"repub",174189,54.29,45.02,"repub",413188,59,35,2,2,22501,561,36.7
"Alabama","AL","red","Monroe County",1099,10668,57.62,41.76,"repub",10185,56.66,42.32,"repub",10680,53.65,45.85,"repub",22778,55,42,0,1,15749,339,40.4
"Alabama","AL","red","Montgomery County",1101,99139,33.6,65.09,"dem",94572,35.88,62.04,"dem",101781,37.61,61.89,"dem",228980,38,55,2,3,24975,596,34.8
"Alabama","AL","red","Morgan County",1103,53722,73.83,24.63,"repub",49991,74.8,22.44,"repub",49198,71.77,27.24,"repub",119673,77,12,1,8,23764,443,39
"Alabama","AL","red","Perry County",1105,5230,25.6,73.8,"dem",5255,26.7,72.75,"dem",6065,24.8,74.79,"dem",10390,30,68,0,1,13716,224,35.8
"Alabama","AL","red","Pickens County",1107,9668,57.86,41.6,"repub",9494,57.45,41.84,"repub",9599,53.33,46.34,"repub",19516,56,41,0,2,17153,250,42.1
"Alabama","AL","red","Pike County",1109,13841,58.1,40.72,"repub",13025,58.97,38.69,"repub",14057,56.48,42.75,"repub",32977,57,36,2,2,19715,432,31.6
"Alabama","AL","red","Randolph County",1111,10837,78.98,20.33,"repub",10130,75.98,22.61,"repub",10391,69.47,29.6,"repub",22819,75,20,0,3,19830,345,41.5
"Alabama","AL","red","Russell County",1113,21329,46.25,52.64,"dem",19136,48.13,50.05,"dem",18871,43.86,55.61,"dem",55544,51,42,1,4,19678,528,35.2
"Alabama","AL","red","St. Clair County",1115,44441,81.38,17.43,"repub",37937,83.24,14.63,"repub",35105,82.61,16.49,"repub",84521,87,9,1,2,23872,508,38.9
"Alabama","AL","red","Shelby County",1117,114950,69.33,28.94,"repub",99208,73.43,23.11,"repub",92204,77.27,21.63,"repub",198366,80,11,2,6,33313,740,37.3
"Alabama","AL","red","Sumter County",1119,6291,25.4,73.88,"dem",6391,24.74,74.15,"dem",7025,22.56,77.15,"dem",13552,24,73,1,1,14156,301,37.2
"Alabama","AL","red","Talladega County",1121,35663,62.35,36.84,"repub",33218,62,36.45,"repub",33317,57.68,41.65,"repub",81845,64,32,0,2,19410,368,40
"Alabama","AL","red","Tallapoosa County",1123,20991,71.28,27.91,"repub",18504,70.08,28.49,"repub",18668,65.9,33.49,"repub",41428,69,27,0,2,21434,382,42
"Alabama","AL","red","Tuscaloosa County",1125,90172,56.69,41.88,"repub",81708,58.38,38.85,"repub",78495,58.22,40.77,"repub",196824,64,30,1,3,22637,570,31.4
"Alabama","AL","red","Walker County",1127,31170,83.42,15.51,"repub",29243,82.78,15.34,"repub",28497,75.91,22.99,"repub",66622,90,5,0,2,20698,402,41.8
"Alabama","AL","red","Washington County",1129,8876,73.95,25.44,"repub",8492,71.02,27.86,"repub",8761,65.62,33.91,"repub",17284,65,24,1,1,20395,318,39.8
"Alabama","AL","red","Wilcox County",1131,5903,31.05,68.58,"dem",6095,28.5,71.03,"dem",6547,25.6,74.34,"dem",11531,27,73,0,0,13379,237,39
"Alabama","AL","red","Winston County",1133,11284,90.35,8.63,"repub",10255,89.96,8.49,"repub",9712,85.56,13.24,"repub",24342,95,1,0,3,18995,328,43.6
"Arizona","AZ","purple","Apache County",4001,35183,32.52,66.21,"dem",18659,28.48,65.36,"dem",25465,32.19,66.1,"dem",71978,20,0,0,6,12709,330,32.7
"Arizona","AZ","purple","Cochise County",4003,60473,58.8,39.24,"repub",43147,58.02,35.44,"repub",43776,61.09,37.06,"repub",131038,58,4,2,33,23608,618,39.8
"Arizona","AZ","purple","Coconino County",4005,73346,36.88,60.94,"dem",44929,36.89,56.33,"dem",46746,41.43,56.3,"dem",134795,55,1,1,14,23382,868,31
"Arizona","AZ","purple","Gila County",4007,27678,66.4,32.31,"repub",21398,63.89,31.53,"repub",18477,62.37,35.99,"repub",53335,65,1,0,18,20792,603,47.9
"Arizona","AZ","purple","Graham County",4009,14996,71.68,26.9,"repub",11939,67.22,27.65,"repub",11854,68.13,30.44,"repub",37168,52,2,1,31,17168,519,31.9
"Arizona","AZ","purple","Greenlee County",4011,3688,65.97,32.05,"repub",3243,58.34,33.67,"repub",2972,53.5,44.08,"repub",8679,48,1,0,47,20516,236,33.6
"Arizona","AZ","purple","La Paz County",4012,7460,68.75,29.97,"repub",4931,68.57,26.73,"repub",4922,65.12,32.89,"repub",20408,62,1,1,24,22200,405,53.8
"Arizona","AZ","purple","Maricopa County",4013,2069475,48.11,50.29,"dem",1201934,49.13,45.68,"repub",1187008,55.17,43.13,"repub",3889161,58,5,3,30,27256,793,35
"Arizona","AZ","purple","Mohave County",4015,104705,75.01,23.72,"repub",74189,73.67,22.22,"repub",65949,70.42,27.79,"repub",201680,79,1,1,15,20833,628,48
"Arizona","AZ","purple","Navajo County",4017,51783,53.41,45.16,"repub",35409,51.3,43.38,"repub",35775,53.54,45.16,"repub",107326,43,0,0,11,16626,500,35.2
"Arizona","AZ","purple","Pima County",4019,520735,39.9,58.57,"dem",360762,40.75,54.23,"dem",351817,46.31,52.15,"dem",986891,55,3,3,35,25269,675,37.8
"Arizona","AZ","purple","Pinal County",4021,185037,57.87,40.59,"repub",93805,57.41,38.1,"repub",102139,57.71,40.56,"repub",379128,58,5,2,29,20910,755,36.1
"Arizona","AZ","purple","Santa Cruz County",4023,19561,31.67,67.16,"dem",14926,24.45,71.58,"dem",13894,30.48,68.27,"dem",47122,16,0,1,83,17664,509,35.7
"Arizona","AZ","purple","Yavapai County",4025,143280,63.88,34.62,"repub",92780,63.44,32.02,"repub",96790,64.45,33.71,"repub",211968,82,1,1,14,25186,701,50.1
"Arizona","AZ","purple","Yuma County",4027,69926,52.25,46.06,"repub",40759,50.51,44.99,"repub",33935,57.46,41.33,"repub",199026,35,2,1,60,18840,680,33.4
"Arkansas","AR","red","Arkansas County",5001,6292,68.4,28.89,"repub",6167,62.02,31.44,"repub",6488,59.99,37.82,"repub",18957,71,25,1,3,23045,392,41.1
"Arkansas","AR","red","Ashley County",5003,7926,70,26.81,"repub",8027,66.5,30,"repub",7915,61.48,36.07,"repub",21645,68,25,0,5,19761,355,39.7
"Arkansas","AR","red","Baxter County",5005,21007,75.38,22.06,"repub",19572,74.88,21.27,"repub",19339,70.78,26.74,"repub",41281,96,0,1,2,21334,465,50.9
"Arkansas","AR","red","Benton County",5007,119912,61.68,35.23,"repub",94262,64.45,29.59,"repub",77525,68.98,28.56,"repub",227439,76,1,3,16,26715,596,34.7
"Arkansas","AR","red","Boone County",5009,17114,79.77,17.9,"repub",15912,76.83,18.38,"repub",15363,72.53,24.49,"repub",37099,95,0,0,2,22160,427,41.5
"Arkansas","AR","red","Bradley County",5011,3654,63.9,33.22,"repub",3617,59.8,36.41,"repub",3634,58.28,39.82,"repub",11418,58,28,0,14,19386,372,40.2
"Arkansas","AR","red","Calhoun County",5013,2182,74.98,21.95,"repub",2250,69.07,28.27,"repub",2174,67.07,30.36,"repub",5319,73,25,0,1,17763,340,42.7
"Arkansas","AR","red","Carroll County",5015,11797,62.93,34.1,"repub",10656,63.56,31.29,"repub",10172,60.17,36.29,"repub",27531,83,0,1,14,20637,438,44.2
"Arkansas","AR","red","Chicot County",5017,4103,42.7,55.08,"dem",4149,41.36,56.64,"dem",4361,38.29,60.74,"dem",11621,40,54,0,5,16538,306,42.4
"Arkansas","AR","red","Clark County",5019,8395,54.99,40.95,"repub",8365,52.58,43.11,"repub",8406,51.67,45.3,"repub",22912,70,24,1,4,17960,414,33.5
"Arkansas","AR","red","Clay County",5021,5183,78.83,18.56,"repub",5978,63.22,33.44,"repub",5110,63.11,34.01,"repub",15790,96,0,0,2,18509,291,42.9
"Arkansas","AR","red","Cleburne County",5023,12680,81.45,15.68,"repub",11968,78.99,17.56,"repub",11643,74.65,22.49,"repub",25856,95,1,0,2,23044,463,46.4
"Arkansas","AR","red","Cleveland County",5025,3600,79.64,18.08,"repub",3299,74.57,21.92,"repub",3266,70.82,25.87,"repub",8648,85,13,0,1,20622,365,40.3
"Arkansas","AR","red","Columbia County",5027,8616,63.83,32.66,"repub",8837,61.74,35.53,"repub",9455,61.24,37.62,"repub",24512,59,37,1,2,19439,339,36.1
"Arkansas","AR","red","Conway County",5029,8685,65.56,30.11,"repub",7837,61.81,33.88,"repub",7724,58.4,38.88,"repub",21235,82,12,0,4,20040,413,40.6
"Arkansas","AR","red","Craighead County",5031,38511,66.37,30.95,"repub",34968,65.2,29.95,"repub",31207,64.23,33.17,"repub",98398,79,14,1,5,23138,512,33.1
"Arkansas","AR","red","Crawford County",5033,24091,77.24,20.58,"repub",22155,75.17,20.2,"repub",20562,73.56,23.69,"repub",61796,86,1,2,6,19477,424,38.3
"Arkansas","AR","red","Crittenden County",5035,16367,44.8,52.02,"dem",15798,44.01,52.97,"dem",15513,39.91,58.61,"dem",50447,45,50,1,2,19665,483,34.4
"Arkansas","AR","red","Cross County",5037,6942,71.25,25.53,"repub",6831,67,29.21,"repub",6680,63.89,34.12,"repub",17760,74,22,1,2,18701,414,39.4
"Arkansas","AR","red","Dallas County",5039,2649,59.38,36.35,"repub",2741,54.98,42.5,"repub",3083,53.97,43.37,"repub",8045,54,41,2,2,16838,288,43
"Arkansas","AR","red","Desha County",5041,4164,46.13,48.41,"dem",4226,45.31,52.7,"dem",4240,42.62,55.5,"dem",12774,47,48,0,4,19822,316,39.3
"Arkansas","AR","red","Drew County",5043,6908,62.96,35.12,"repub",6552,60.55,36.08,"repub",6626,58.6,39.65,"repub",18686,67,28,1,3,17057,392,37.4
"Arkansas","AR","red","Faulkner County",5045,54428,63.24,33.71,"repub",46364,62.92,31.33,"repub",41322,64.5,32.81,"repub",115928,82,11,1,4,24401,548,31.4
"Arkansas","AR","red","Franklin County",5047,7129,79.63,18.24,"repub",6698,75.16,20.54,"repub",6539,70.82,26.38,"repub",18063,93,1,0,2,19135,418,40.9
"Arkansas","AR","red","Fulton County",5049,5119,77.38,20.22,"repub",4744,73.15,22.49,"repub",4522,65.21,32.11,"repub",12266,96,0,1,1,19326,317,47.3
"Arkansas","AR","red","Garland County",5051,44199,65.77,31.78,"repub",40337,64.59,30.45,"repub",39241,63.79,33.94,"repub",96547,84,8,1,5,23170,521,44.2
"Arkansas","AR","red","Grant County",5053,8200,82.85,15.46,"repub",6855,75.27,20.53,"repub",6478,74.54,22.65,"repub",17922,94,2,0,2,23239,508,39.6
"Arkansas","AR","red","Greene County",5055,16100,78.7,18.99,"repub",14422,74.18,21.19,"repub",13754,65.92,29.07,"repub",42580,95,1,0,2,19652,448,37.6
"Arkansas","AR","red","Hempstead County",5057,6848,65.27,31.22,"repub",6984,62.87,33.95,"repub",6919,61.92,35.64,"repub",22509,56,30,0,12,17376,381,38.8
"Arkansas","AR","red","Hot Spring County",5059,12557,73.28,24.54,"repub",11815,69.01,26.55,"repub",11239,63.06,34.02,"repub",33182,84,11,0,3,19286,429,40.1
"Arkansas","AR","red","Howard County",5061,4834,69.65,27.72,"repub",4634,68.08,29.13,"repub",4419,64.77,33.04,"repub",13748,67,21,0,10,18707,363,36.9
