"total_time","status","distance","air_time","month","day_of_week","day","scheduled_departure","late_night_departure","departure_delay","scheduled_arrival","arrival_delay","airline","destination_airport","state","latitude","longitude"
521,"delayed",334,51,"2","Sun",22,1451,FALSE,443,1619,433,"EV","ORD","IL",41.9796,-87.90446
196,"delayed",1020,120,"11","Fri",13,1730,FALSE,43,2112,34,"DL","LGA","NY",40.77724,-73.87261
108,"on time",349,66,"2","Fri",20,2018,FALSE,9,2149,17,"DL","MDW","IL",41.78598,-87.75242
101,"on time",448,87,"8","Sun",9,540,FALSE,0,705,16,"WN","STL","MO",38.74769,-90.35999
150,"delayed",680,100,"2","Sat",7,1948,FALSE,34,2055,23,"F9","DEN","CO",39.85841,-104.667
152,"delayed",528,84,"6","Thur",11,1729,FALSE,47,2006,55,"DL","DTW","MI",42.21206,-83.34884
95,"delayed",76,20,"3","Thur",5,1315,FALSE,55,1401,49,"EV","RST","MN",43.90883,-92.49799
275,"delayed",491,66,"6","Mon",22,1925,FALSE,191,2158,182,"OO","FNT","MI",42.9655,-83.74346
231,"on time",1501,185,"2","Tue",3,1830,FALSE,-5,2304,17,"AA","MIA","FL",25.79325,-80.29056
223,"on time",1399,191,"5","Mon",4,1535,FALSE,0,1703,15,"DL","SEA","WA",47.44898,-122.30931
354,"delayed",1535,204,"6","Mon",8,1715,FALSE,99,1908,121,"DL","LAX","CA",33.94254,-118.40807
207,"delayed",1020,138,"9","Tue",15,1915,FALSE,35,2255,47,"DL","LGA","NY",40.77724,-73.87261
184,"delayed",980,139,"5","Thur",7,1912,FALSE,11,2241,35,"DL","RDU","NC",35.87764,-78.78747
270,"delayed",1399,187,"8","Sat",22,2130,FALSE,54,2305,55,"DL","SEA","WA",47.44898,-122.30931
132,"delayed",334,73,"9","Thur",17,828,FALSE,17,959,41,"UA","ORD","IL",41.9796,-87.90446
130,"delayed",528,69,"3","Sat",21,1419,FALSE,48,1654,35,"DL","DTW","MI",42.21206,-83.34884
287,"delayed",1535,215,"3","Mon",23,1616,FALSE,47,1814,49,"NK","LAX","CA",33.94254,-118.40807
