"success","goal","duration","name_length","blurb_length","launch_hr","deadline_hr","created_at_hr","deadline_weekday","created_at_weekday","category","country","currency","launch_month","launch_weekday"
"FALSE",25,33.3090972222222,10,17,8,16,13,"Wednesday","Wednesday","Web","US","USD","Mar","Fri"
"FALSE",1500,30,3,12,17,17,3,"Wednesday","Saturday","Web","GB","GBP","Dec","Mon"
"FALSE",2000,60,3,8,15,15,20,"Saturday","Friday","Web","NZ","NZD","Jul","Tue"
"FALSE",85000,24,6,16,15,15,17,"Saturday","Saturday","Web","ES","EUR","Apr","Wed"
"FALSE",10000,30,4,13,12,12,21,"Wednesday","Thursday","Web","US","USD","Mar","Mon"
"FALSE",7000,30,4,14,21,21,5,"Sunday","Thursday","Web","AU","AUD","Nov","Fri"
"FALSE",180000,27.117037037037,3,9,15,18,16,"Monday","Friday","Web","US","USD","Mar","Tue"
"FALSE",5000,28.9647800925926,1,15,10,10,10,"Friday","Tuesday","Web","US","USD","Oct","Thu"
"FALSE",150000,60,3,14,21,21,21,"Tuesday","Tuesday","Web","US","USD","Mar","Fri"
"FALSE",5500,30,6,16,12,12,20,"Wednesday","Tuesday","Web","US","USD","Jul","Mon"
"FALSE",800,30,1,15,18,18,16,"Thursday","Monday","Web","US","USD","Jul","Tue"
"FALSE",5000,30,2,12,10,10,9,"Wednesday","Saturday","Web","US","USD","Jul","Mon"
"FALSE",25000,15,8,15,21,21,13,"Wednesday","Monday","Web","US","USD","May","Tue"
"FALSE",15000,30,8,14,10,10,12,"Saturday","Friday","Web","US","USD","May","Thu"
"FALSE",55000,45,6,11,16,16,7,"Thursday","Thursday","Web","AU","AUD","Oct","Mon"
"FALSE",8000,30,1,9,13,13,12,"Thursday","Sunday","Web","IT","EUR","Jan","Tue"
"FALSE",20000,30,1,12,16,16,22,"Sunday","Friday","Web","US","USD","Feb","Fri"
"FALSE",850000,30,1,9,19,19,11,"Saturday","Wednesday","Web","SE","SEK","Sep","Thu"
"FALSE",750000,30,3,14,16,16,15,"Sunday","Thursday","Web","US","USD","Oct","Fri"
"FALSE",350000,60,7,13,13,13,13,"Friday","Monday","Web","US","USD","Oct","Mon"
"FALSE",25000,30,2,15,7,7,9,"Sunday","Saturday","Gadgets","US","USD","Sep","Fri"
"FALSE",55000,30,5,10,19,19,15,"Friday","Tuesday","Gadgets","US","USD","Nov","Wed"
"FALSE",40000,35,5,14,1,1,6,"Wednesday","Friday","Gadgets","NL","EUR","Sep","Wed"
"FALSE",40000,56.9653125,10,17,2,1,4,"Wednesday","Thursday","Gadgets","US","USD","Oct","Tue"
"FALSE",30000,33.104849537037,9,13,23,2,8,"Tuesday","Monday","Gadgets","AU","AUD","Nov","Wed"
"FALSE",40000,29.3178819444444,1,15,13,21,14,"Monday","Monday","Gadgets","US","USD","Apr","Sun"
"FALSE",150000,30,7,14,9,9,12,"Saturday","Friday","Gadgets","US","USD","Jan","Thu"
"FALSE",350000,30,4,13,7,7,12,"Monday","Saturday","Gadgets","US","USD","Mar","Sat"
"FALSE",1e+05,30,5,11,2,2,18,"Thursday","Monday","Gadgets","US","USD","Oct","Tue"
"FALSE",1000,30,6,14,15,15,13,"Wednesday","Monday","Gadgets","GB","GBP","Feb","Mon"
"FALSE",10000,30,4,14,9,9,2,"Monday","Saturday","Gadgets","GB","GBP","Jun","Sat"
